City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,25.03,73,75,3.09,CK,1715480380
1,rabo de peixe,37.8,-25.5833,17.77,99,75,1.54,PT,1715480380
2,tezu,27.9167,96.1667,29.06,34,3,1.64,IN,1715480380
3,carolina beach,34.0352,-77.8936,20.01,81,0,2.86,US,1715480305
4,albany,42.6001,-73.9662,12.73,70,100,2.37,US,1715480381
5,grytviken,-54.2811,-36.5092,-0.52,88,37,1.93,GS,1715480381
6,olyokminsk,60.3736,120.4264,9.65,40,89,4.43,RU,1715480381
7,lihue,21.9789,-159.3672,25.58,74,75,6.17,US,1715480321
8,utrik,11.2278,169.8474,27.51,80,88,6.9,MH,1715480381
9,meadow lake,34.8014,-106.5436,18.6,27,90,6.53,US,1715480382
10,berezovyy,51.6667,135.7,4.15,90,100,2.55,RU,1715480382
11,waitangi,-43.9535,-176.5597,11.01,89,96,3.13,NZ,1715480382
12,longyearbyen,78.2186,15.6401,-2.12,93,91,0.58,SJ,1715480382
13,sisimiut,66.9395,-53.6735,-0.9,95,100,4.59,GL,1715480382
14,nizhnesortymskiy,62.4397,71.7603,4.13,76,10,7.08,RU,1715480383
15,chubek,37.6137,69.7061,15.04,84,100,1.54,TJ,1715480383
16,blackmans bay,-43.0167,147.3167,15.41,73,28,0.89,AU,1715480383
17,iqaluit,63.7506,-68.5145,-5.15,85,100,10.29,CA,1715480383
18,dryden,49.7833,-92.7503,15.16,44,0,5.66,CA,1715480383
19,northam,51.0333,-4.2167,13.67,83,100,3.72,GB,1715480384
20,jamestown,42.097,-79.2353,9.77,97,100,3.6,US,1715480384
21,lerwick,60.1545,-1.1494,10.0,86,100,7.02,GB,1715480384
22,bikenibeu village,1.3673,173.1241,29.98,79,75,2.57,KI,1715480384
23,khandyga,62.6667,135.6,7.23,34,86,0.57,RU,1715480384
24,talnakh,69.4865,88.3972,-3.22,97,100,4.14,RU,1715480385
25,suva,-18.1416,178.4415,26.71,57,75,5.66,FJ,1715480385
26,papatowai,-46.5619,169.4708,11.99,78,74,4.94,NZ,1715480385
27,margaret river,-33.95,115.0667,17.49,66,100,2.6,AU,1715480385
